parameter,S_i,ST_i
alpha,0.13417764,0.12430400
D0,0.54880211,0.57926851
Ea,0.24888074,0.32358354
T,0.05914922,0.06395270
x_Ge,0.02457320,0.06738505
t,0.00075350,0.03601236
