parameter,S_i,ST_i
alpha,0.00477672,-0.04821855
D0,0.57094810,0.64989311
Ea,0.29869211,0.24330157
T,0.05788955,-0.00959612
x_Ge,0.00548841,-0.06019761
t,-0.00069284,-0.05651638
